title,genre,runtime,votes,rating,revenue,director,actor,description
The BFG,Adventure,117,50853,6.4,55.47,Steven Spielberg,Mark Rylance,An orphan little girl befriends a benevolent giant who takes her to Giant Country where they attempt to stop the man-eating giants that are invading the human world.
The Hunger Games,Adventure,142,735604,7.2,408.00,Gary Ross,Jennifer Lawrence,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
White Girl,Drama,88,4299,5.8,0.20,Elizabeth Wood,Morgan Saylor,Summer
Sicario,Action,121,243230,7.6,46.88,Denis Villeneuve,Emily Blunt,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Twin Peaks: The Missing Pieces,Drama,91,1973,8.1,0.50,David Lynch,Chris Isaak,Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.
Aliens vs Predator - Requiem,Action,94,97618,4.7,41.80,Colin Strause,Reiko Aylesworth,Warring alien and predator races descend on a rural US town where unsuspecting residents must band together for any chance of survival.
Pacific Rim,Action,131,400519,7.0,101.79,Guillermo del Toro,Idris Elba,As a war between humankind and monstrous sea creatures wages on a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.
Crazy,ComedyDramaRomance,118,396714,7.4,84.24,Glenn Ficarra,Steve Carell,A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend
Scott Pilgrim vs. the World,Action,112,291457,7.5,31.49,Edgar Wright,Michael Cera,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
Hot Fuzz,Action,121,373244,7.9,23.62,Edgar Wright,Simon Pegg,Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat Nicholas suspects a sinister conspiracy is afoot with the residents.
Mine,Thriller,106,5926,6.0,0.50,Fabio Guaglione,Armie Hammer,After a failed assassination attempt a soldier finds himself stranded in the desert. Exposed to the elements he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions.
Free Fire,Action,90,6946,7.0,1.80,Ben Wheatley,Sharlto Copley,Set in Boston in 1978 a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.
X-Men: Days of Future Past,Action,132,552298,8.0,233.91,Bryan Singer,Patrick Stewart,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Jack Reacher: Never Go Back,Action,118,78043,6.1,58.40,Edward Zwick,Tom Cruise,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law Reacher uncovers a potential secret from his past that could change his life forever.
Casino Royale,Action,144,495106,8.0,167.01,Martin Campbell,Daniel Craig,Armed with a licence to kill Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale but things are not what they seem.
Twilight,Drama,122,361449,5.2,191.45,Catherine Hardwicke,Kristen Stewart,A teenage girl risks everything when she falls in love with a vampire.
Now You See Me 2,Action,129,156567,6.5,65.03,Jon M. Chu,Jesse Eisenberg,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.
Woman in Gold,Biography,109,39723,7.3,33.31,Simon Curtis,Helen Mirren,Maria Altmann an octogenarian Jewish refugee takes on the Austrian government to recover artwork she believes rightfully belongs to her family.
13 Hours,Action,144,76935,7.3,52.82,Michael Bay,John Krasinski,During an attack on a U.S. compound in Libya a security team struggles to make sense out of the chaos.
Spectre,Action,148,308981,6.8,200.07,Sam Mendes,Daniel Craig,A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.
Nightcrawler,Crime,118,332476,7.9,32.28,Dan Gilroy,Jake Gyllenhaal,When Louis Bloom a con man desperate for work muscles into the world of L.A. crime journalism he blurs the line between observer and participant to become the star of his own story.
Kubo and the Two Strings,Animation,101,72778,7.9,48.02,Travis Knight,Charlize Theron,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Beyond the Gates,Adventure,84,2127,5.2,0.50,Jackson Stewart,Graham Skipper,Two estranged brothers reunite at their missing father's video store and find a VCR board game dubbed 'Beyond The Gates' that holds a connection to their father's disappearance.
Her,Drama,126,390531,8.0,25.56,Spike Jonze,Joaquin Phoenix,A lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
Frozen,Animation,102,451894,7.5,400.74,Chris Buck,Kristen Bell,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter her sister Anna teams up with a mountain man his playful reindeer and a snowman to change the weather condition.
Tomorrowland,Action,130,143069,6.5,93.42,Brad Bird,George Clooney,Bound by a shared destiny a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.
Dawn of the Planet of the Apes,Action,130,337777,7.6,208.54,Matt Reeves,Gary Oldman,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
Tropic Thunder,Action,107,321442,7.0,110.42,Ben Stiller,Ben Stiller,Through a series of freak occurrences a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.
The Conjuring 2,Horror,134,137203,7.4,102.46,James Wan,Vera Farmiga,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.
Ant-Man,Action,117,368912,7.3,180.19,Peyton Reed,Paul Rudd,Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength cat burglar Scott Lang must embrace his inner hero and help his mentor Dr. Hank Pym plan and pull off a heist that will save the world.
Bridget Jones's Baby,Comedy,118,43086,6.7,24.09,Sharon Maguire,Renée Zellweger,Bridget's focus on single life and her career is interrupted when she finds herself pregnant but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.
The VVitch: A New-England Folktale,Horror,92,101781,6.8,25.14,Robert Eggers,Anya Taylor-Joy,A family in 1630s New England is torn apart by the forces of witchcraft black magic and possession.
Cinderella,Drama,105,117018,7.0,201.15,Kenneth Branagh,Lily James,When her father unexpectedly passes away young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope Ella's fortunes begin to change after meeting a dashing stranger.
Realive,Sci-Fi,112,1176,5.9,0.50,Mateo Gil,Tom Hughes,Marc (Tom Hughes) is diagnosed with a disease and is given one year left to live. Unable to accept his own end
Forushande,Drama,124,22389,8.0,3.40,Asghar Farhadi,Taraneh Alidoosti,While both participating in a production of "Death of a Salesman" a teacher's wife is assaulted in her new home which leaves him determined to find the perpetrator over his wife's traumatized objections.
Love,Drama,135,24003,6.0,0.50,Gaspar Noé,Aomi Muyock,Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship they invite their pretty neighbor into their bed.
Billy Lynn's Long Halftime Walk,Drama,113,11944,6.3,1.72,Ang Lee,Joe Alwyn,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.
Crimson Peak,Drama,119,97454,6.6,31.06,Guillermo del Toro,Mia Wasikowska,In the aftermath of a family tragedy an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past she is swept away to a house that breathes bleeds - and remembers.
Drive,Crime,100,461509,7.8,35.05,Nicolas Winding Refn,Ryan Gosling,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
Trainwreck,Comedy,125,106364,6.3,110.01,Judd Apatow,Amy Schumer,Having thought that monogamy was never possible a commitment-phobic career woman may have to face her fears when she meets a good guy.
The Light Between Oceans,Drama,133,27382,7.2,12.53,Derek Cianfrance,Michael Fassbender,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.
Below Her Mouth,Drama,94,1445,5.6,0.50,April Mullen,Erika Linder,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.
Spotlight,Crime,128,268282,8.1,44.99,Tom McCarthy,Mark Ruffalo,The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese shaking the entire Catholic Church to its core.
Morgan,Horror,92,22107,5.8,3.91,Luke Scott,Kate Mara,A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.
Warrior,Action,140,355722,8.2,13.65,Gavin O'Connor,Tom Hardy,The youngest son of an alcoholic former boxer returns home where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged older brother.
Captain America: The First Avenger,Action,124,547368,6.9,176.64,Joe Johnston,Chris Evans,Steve Rogers a rejected military soldier transforms into Captain America after taking a dose of a Super-Soldier serum. But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.
Hacker,Crime,95,3799,6.3,0.50,Akan Satayev,Callan McAuliffe,With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft.
Into the Wild,Adventure,148,459304,8.1,18.35,Sean Penn,Emile Hirsch,After graduating from Emory University top student and athlete Christopher McCandless abandons his possessions gives his entire $24000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way Christopher encounters a series of characters that shape his life.
